Days,Longitude,Latitude,Tilt,DNI,GHI
31,14.2073577903753,37.5848204461543,18,1800,3
28,14.2073577903753,37.5848204461543,18,1800,3
31,14.2073577903753,37.5848204461543,18,1800,4
30,14.2073577903753,37.5848204461543,18,1800,4
31,14.2073577903753,37.5848204461543,18,1800,4
30,14.2073577903753,37.5848204461543,18,1900,5
31,14.2073577903753,37.5848204461543,18,1900,5
31,14.2073577903753,37.5848204461543,18,1900,5
30,14.2073577903753,37.5848204461543,18,1800,4
31,14.2073577903753,37.5848204461543,18,1800,4
30,14.2073577903753,37.5848204461543,18,1800,4
31,14.2073577903753,37.5848204461543,18,1800,3
