Lake,Month,tilt_max,tilted_ghi_max
lake_poma,January,25,3.16
lake_poma,February,50,4.29
lake_poma,March,25,4.21
lake_poma,April,39,4.67
lake_poma,May,25,4.21
lake_poma,June,52,7.89
lake_poma,July,52,7.92
lake_poma,August,52,7.92
lake_poma,September,39,4.67
lake_poma,October,25,4.21
lake_poma,November,39,4.67
lake_poma,December,25,3.16
lake_rubino,January,28,3.21
lake_rubino,February,0,2.95
lake_rubino,March,28,4.28
lake_rubino,April,9,4.04
lake_rubino,May,28,4.28
lake_rubino,June,26,5.3
lake_rubino,July,0,4.94
lake_rubino,August,0,4.94
lake_rubino,September,9,4.04
lake_rubino,October,28,4.28
lake_rubino,November,9,4.04
lake_rubino,December,28,3.21
lake_trinita,January,6,3.01
lake_trinita,February,39,3.5
lake_trinita,March,6,4.02
lake_trinita,April,22,4.17
lake_trinita,May,6,4.02
lake_trinita,June,52,7.87
lake_trinita,July,50,7.15
lake_trinita,August,50,7.15
lake_trinita,September,22,4.17
lake_trinita,October,6,4.02
lake_trinita,November,22,4.17
lake_trinita,December,6,3.01
lake_arancio,January,0,3.0
lake_arancio,February,0,2.95
lake_arancio,March,0,4.0
lake_arancio,April,0,3.97
lake_arancio,May,0,4.0
lake_arancio,June,25,5.25
lake_arancio,July,0,4.96
lake_arancio,August,0,4.96
lake_arancio,September,0,3.97
lake_arancio,October,0,4.0
lake_arancio,November,0,3.97
lake_arancio,December,0,3.0
lake_giovanni,January,40,3.54
lake_giovanni,February,39,3.51
lake_giovanni,March,40,4.72
lake_giovanni,April,39,4.68
lake_giovanni,May,40,4.72
lake_giovanni,June,0,4.92
lake_giovanni,July,0,4.97
lake_giovanni,August,0,4.97
lake_giovanni,September,39,4.68
lake_giovanni,October,40,4.72
lake_giovanni,November,39,4.68
lake_giovanni,December,40,3.54
lake_villarosa,January,46,3.92
lake_villarosa,February,38,3.48
lake_villarosa,March,46,5.23
lake_villarosa,April,44,5.01
lake_villarosa,May,46,5.23
lake_villarosa,June,0,4.91
lake_villarosa,July,0,4.97
lake_villarosa,August,0,4.97
lake_villarosa,September,44,5.01
lake_villarosa,October,46,5.23
lake_villarosa,November,44,5.01
lake_villarosa,December,46,3.92
lake_nicoletti,January,29,3.22
lake_nicoletti,February,0,3.0
lake_nicoletti,March,29,4.3
lake_nicoletti,April,20,4.13
lake_nicoletti,May,29,4.3
lake_nicoletti,June,0,4.97
lake_nicoletti,July,0,4.91
lake_nicoletti,August,0,4.91
lake_nicoletti,September,20,4.13
lake_nicoletti,October,29,4.3
lake_nicoletti,November,20,4.13
lake_nicoletti,December,29,3.22
lake_comunelli,January,40,3.52
lake_comunelli,February,36,3.4
lake_comunelli,March,40,4.7
lake_comunelli,April,39,4.66
lake_comunelli,May,40,4.7
lake_comunelli,June,51,7.57
lake_comunelli,July,49,7.11
lake_comunelli,August,49,7.11
lake_comunelli,September,39,4.66
lake_comunelli,October,40,4.7
lake_comunelli,November,39,4.66
lake_comunelli,December,40,3.52
lake_disueri,January,50,4.41
lake_disueri,February,50,4.38
lake_disueri,March,50,5.88
lake_disueri,April,50,5.89
lake_disueri,May,50,5.88
lake_disueri,June,52,7.84
lake_disueri,July,52,7.9
lake_disueri,August,52,7.9
lake_disueri,September,50,5.89
lake_disueri,October,50,5.88
lake_disueri,November,50,5.89
lake_disueri,December,50,4.41
